variant,N,Q,beta,d_km,rho,x_r_argmax,kappa_ground,gap,imfrac,imfrac_ownmax,kappa_source,imfrac_source,washout_gap,p_kappa_floor,p_imfrac_floor,p_gap_raw,p_gap_scaled,near_deg_raw,near_deg_scaled,cell_class_raw,cell_class_scaled
primary,64,10.0,0.1,100.0,0.95,68.2024,0.5123,1.881832e-21,0.6213,0.6213,0.6973,0.7062,0.1852,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,150.0,0.7,68.3035,0.5585,2.569321e-22,0.6187,0.6306,0.6711,0.6709,0.1112,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,150.0,0.85,68.3035,0.5724,2.577311e-22,0.6483,0.6483,0.6705,0.6925,0.0967,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,150.0,0.95,68.3035,0.5792,2.586329e-22,0.6631,0.6631,0.6707,0.7011,0.0911,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,250.0,0.7,68.5059,0.6443,2.430738e-23,0.6074,0.6105,0.5595,0.6134,-0.0838,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,250.0,0.85,68.5059,0.6682,2.455711e-23,0.6645,0.6651,0.5541,0.6370,-0.1155,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,250.0,0.95,68.5059,0.6812,2.459966e-23,0.6935,0.6935,0.5504,0.6462,-0.1301,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,100.0,0.7,68.2024,0.5355,4.917272e-22,0.6066,0.6066,0.6168,0.6681,0.0801,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,100.0,0.85,68.2024,0.5540,4.795063e-22,0.6375,0.6375,0.6131,0.6785,0.0605,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,100.0,0.95,68.2024,0.5609,4.772855e-22,0.6522,0.6522,0.6117,0.6829,0.0510,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,150.0,0.7,68.3035,0.6276,5.626907e-23,0.6035,0.6057,0.5096,0.6029,-0.1164,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,150.0,0.85,68.3035,0.6528,5.614935e-23,0.6603,0.6616,0.4993,0.6047,-0.1560,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,150.0,0.95,68.3035,0.6664,5.594103e-23,0.6909,0.6909,0.4952,0.6064,-0.1704,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,250.0,0.7,76.6001,0.6372,4.819843e-24,0.5439,0.5681,0.3666,0.4892,-0.2683,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,250.0,0.85,59.3999,0.6165,3.482994e-24,0.6053,0.6190,0.3484,0.4613,-0.2684,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.2,250.0,0.95,59.3999,0.6111,3.588027e-24,0.6597,0.6597,0.3378,0.4484,-0.2744,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,100.0,0.7,68.2024,0.5065,1.905507e-21,0.6101,0.6101,0.6964,0.6986,0.1896,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,100.0,0.85,68.2024,0.5101,1.880233e-21,0.6173,0.6173,0.6966,0.7042,0.1867,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,100.0,0.95,68.2024,0.5122,1.904030e-21,0.6212,0.6212,0.6974,0.7062,0.1852,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,150.0,0.7,68.3035,0.5608,2.601858e-22,0.6207,0.6309,0.6708,0.6704,0.1112,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,150.0,0.85,68.3035,0.5726,2.535482e-22,0.6482,0.6482,0.6715,0.6929,0.0988,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,150.0,0.95,68.3035,0.5794,2.549921e-22,0.6631,0.6631,0.6710,0.7011,0.0920,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,250.0,0.7,68.5059,0.6459,2.416145e-23,0.6076,0.6143,0.5608,0.6136,-0.0838,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,250.0,0.85,68.5059,0.6686,2.453859e-23,0.6646,0.6649,0.5532,0.6368,-0.1168,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.05,250.0,0.95,68.5059,0.6803,2.456510e-23,0.6936,0.6936,0.5499,0.6458,-0.1316,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,20.0,0.1,100.0,0.7,68.2024,0.5364,4.864414e-22,0.6064,0.6064,0.6162,0.6679,0.0792,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
